Experiment,fp,fn,rev,shd,NLL
e10: no interventions,0.0,1.0,1.0,2.0,1.1433606461066543
e11: removed,1.0,2.0,2.0,5.0,1.013161373866038
e1: perfect,0.0,0.0,1.0,1.0,0.9370526385102842
