Experiment,fp,fn,rev,shd,NLL
e8: perfect-unknown,7.0,3.0,3.0,13.0,0.8428364766174895
e9: imperfect,6.0,2.0,6.0,14.0,0.3171223817977142
e7: perfect,0.0,0.0,0.0,0.0,0.31692471616848
