Experiment,fp,fn,rev,shd,NLL
e12: no interventions,2.0,1.0,2.0,5.0,0.9317846559344476
e13: removed,2.0,2.0,1.0,5.0,0.7674041213288181
e4: perfect,2.0,2.0,1.0,5.0,0.8513567092661044
