Experiment,fp,fn,rev,shd,NLL
e2: perfect-unknown,1.0,1.0,1.0,3.0,1.1314296597652729
e3: imperfect,1.0,0.0,2.0,3.0,0.8313778447102383
e1: perfect,0.0,0.0,1.0,1.0,0.9370526385102842
