Experiment,fp,fn,rev,shd,NLL
e14: no interventions,0.0,1.0,1.0,2.0,1.005274248041946
e15: removed,1.0,0.0,3.0,4.0,0.832575554416734
e3: imperfect,1.0,0.0,2.0,3.0,0.8313778447102383
